,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Bruce Brown,33:27,8,16,.500,1,2,.500,1,3,.333,5,5,10,6,3,0,2,3,18,-13,Indiana Pacers,Denver Nuggets,2024-01-14
1,Andrew Nembhard,28:45,4,8,.500,0,1,.000,4,6,.667,1,1,2,7,0,0,2,0,12,-16,Indiana Pacers,Denver Nuggets,2024-01-14
2,Buddy Hield,28:00,6,13,.462,2,9,.222,2,2,1.000,0,2,2,1,2,0,1,2,16,+1,Indiana Pacers,Denver Nuggets,2024-01-14
3,Myles Turner,25:35,5,11,.455,0,4,.000,2,3,.667,1,3,4,1,2,1,3,5,12,-5,Indiana Pacers,Denver Nuggets,2024-01-14
4,Jalen Smith,25:20,4,7,.571,0,1,.000,0,1,.000,2,1,3,3,0,0,0,2,8,-16,Indiana Pacers,Denver Nuggets,2024-01-14
6,Obi Toppin,25:28,4,5,.800,3,3,1.000,0,0,,0,3,3,1,1,0,0,2,11,+8,Indiana Pacers,Denver Nuggets,2024-01-14
7,Bennedict Mathurin,21:36,3,9,.333,1,3,.333,5,5,1.000,1,2,3,2,0,0,2,3,12,-7,Indiana Pacers,Denver Nuggets,2024-01-14
8,Isaiah Jackson,19:35,6,9,.667,0,0,,0,0,,3,4,7,1,2,0,2,3,12,-3,Indiana Pacers,Denver Nuggets,2024-01-14
9,T.J. McConnell,19:15,2,9,.222,0,2,.000,1,2,.500,1,1,2,5,0,0,1,0,5,+8,Indiana Pacers,Denver Nuggets,2024-01-14
10,Jordan Nwora,12:55,1,5,.200,1,4,.250,0,0,,0,1,1,1,1,0,0,1,3,+3,Indiana Pacers,Denver Nuggets,2024-01-14
11,Kendall Brown,0:0,Indiana Pacers,Denver Nuggets,2024-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,James Johnson,0:0,Indiana Pacers,Denver Nuggets,2024-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Ben Sheppard,0:0,Indiana Pacers,Denver Nuggets,2024-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Oscar Tshiebwe,0:0,Indiana Pacers,Denver Nuggets,2024-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Jarace Walker,0:0,Indiana Pacers,Denver Nuggets,2024-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
