,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Giannis Antetokounmpo,36:34,14,22,.636,0,1,.000,6,7,.857,2,14,16,5,1,0,3,2,34,+12,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
1,Brook Lopez,36:00,4,10,.400,1,3,.333,0,0,,3,7,10,2,0,6,0,3,9,+9,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
2,Malik Beasley,34:37,5,9,.556,5,8,.625,0,0,,0,5,5,0,0,0,3,1,15,+12,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
3,Damian Lillard,34:14,9,16,.563,2,6,.333,11,11,1.000,0,2,2,4,0,0,2,3,31,+14,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
4,Khris Middleton,33:16,4,10,.400,1,3,.333,4,4,1.000,0,3,3,11,3,0,4,1,13,+7,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
6,Bobby Portis,23:26,2,6,.333,1,2,.500,4,6,.667,1,4,5,1,1,0,0,3,9,-5,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
7,Pat Connaughton,22:43,1,3,.333,1,3,.333,0,0,,0,1,1,3,0,0,1,0,3,+6,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
8,MarJon Beauchamp,10:49,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,0,2,5,+1,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
9,Cameron Payne,5:51,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,3,0,0,-9,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
10,Andre Jackson Jr.,2:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29
11,Thanasis Antetokounmpo,0:0,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,A.J. Green,0:0,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Chris Livingston,0:0,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Robin Lopez,0:0,Milwaukee Bucks,Cleveland Cavaliers,2023-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
