,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Austin Reaves,32:29,3,9,.333,2,5,.400,7,7,1.000,0,7,7,6,1,1,2,4,15,+25,Detroit Pistons,Los Angeles Lakers,2024-02-13
1,D'Angelo Russell,31:41,8,18,.444,4,9,.444,1,2,.500,1,1,2,3,0,1,3,2,21,+7,Detroit Pistons,Los Angeles Lakers,2024-02-13
2,LeBron James,30:42,9,15,.600,3,6,.500,4,4,1.000,0,1,1,8,0,0,4,0,25,+9,Detroit Pistons,Los Angeles Lakers,2024-02-13
3,Rui Hachimura,30:05,7,10,.700,0,2,.000,1,4,.250,2,3,5,2,0,0,0,1,15,+13,Detroit Pistons,Los Angeles Lakers,2024-02-13
4,Anthony Davis,28:23,6,12,.500,1,3,.333,7,7,1.000,3,11,14,4,0,6,1,1,20,+12,Detroit Pistons,Los Angeles Lakers,2024-02-13
6,Spencer Dinwiddie,31:17,2,6,.333,1,5,.200,1,1,1.000,0,2,2,7,2,0,4,2,6,+5,Detroit Pistons,Los Angeles Lakers,2024-02-13
7,Taurean Prince,22:33,3,5,.600,2,3,.667,0,1,.000,1,4,5,1,1,1,0,1,8,+6,Detroit Pistons,Los Angeles Lakers,2024-02-13
8,Jaxson Hayes,13:28,0,0,,0,0,,2,2,1.000,0,7,7,1,1,1,1,1,2,+5,Detroit Pistons,Los Angeles Lakers,2024-02-13
9,Christian Wood,13:21,4,7,.571,1,2,.500,2,2,1.000,0,4,4,0,1,1,0,1,11,-1,Detroit Pistons,Los Angeles Lakers,2024-02-13
10,Jalen Hood-Schifino,2:18,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3,Detroit Pistons,Los Angeles Lakers,2024-02-13
11,Maxwell Lewis,2:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,Detroit Pistons,Los Angeles Lakers,2024-02-13
12,Colin Castleton,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5,Detroit Pistons,Los Angeles Lakers,2024-02-13
