,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Rudy Gobert,28:27,9,11,.818,0,0,,6,8,.750,5,12,17,0,0,2,1,2,24,+33
1,Karl-Anthony Towns,27:45,7,8,.875,3,3,1.000,6,7,.857,1,7,8,1,2,0,0,2,23,+38
2,Anthony Edwards,27:18,4,9,.444,0,3,.000,1,2,.500,0,3,3,6,1,1,0,2,9,+41
3,Jaden McDaniels,23:54,4,8,.500,1,3,.333,0,0,,0,2,2,3,2,0,4,1,9,+36
4,Mike Conley,20:24,3,7,.429,3,5,.600,0,0,,0,4,4,10,0,0,0,1,9,+35
5,player,,,,,,,,,,,,,,,,,,,,
6,Naz Reid,20:42,5,10,.500,2,6,.333,2,5,.400,1,2,3,1,2,0,0,2,14,-4
7,Nickeil Alexander-Walker,18:54,1,3,.333,0,2,.000,0,0,,0,2,2,3,2,0,2,1,2,0
8,Kyle Anderson,15:15,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,2,2,2,-4
9,Jordan McLaughlin,12:51,1,3,.333,0,2,.000,0,0,,0,0,0,5,1,0,2,2,2,-9
10,Shake Milton,9:49,3,5,.600,0,0,,0,0,,0,0,0,2,0,0,0,1,6,-11
11,Troy Brown Jr.,9:17,2,5,.400,2,5,.400,0,0,,1,1,2,3,0,0,3,1,6,-10
12,Josh Minott,9:17,0,3,.000,0,0,,2,2,1.000,0,0,0,0,1,1,0,2,2,-10
13,Wendell Moore Jr.,8:16,2,2,1.000,0,0,,0,0,,0,0,0,0,2,0,0,2,4,-11
14,Leonard Miller,7:51,2,4,.500,0,2,.000,0,0,,0,2,2,0,1,1,1,2,4,-9
15,Daishen Nix,Did Not Play,,,,,,,,,,,,,,,,,,,
