,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Damian Lillard,34:50,14,22,.636,7,12,.583,5,5,1.000,0,3,3,4,3,0,1,0,40,+26
1,Giannis Antetokounmpo,33:36,4,12,.333,0,2,.000,3,6,.500,2,12,14,16,2,1,3,1,11,+13
2,Brook Lopez,31:47,6,14,.429,0,5,.000,2,2,1.000,5,0,5,1,0,6,0,3,14,+13
3,Khris Middleton,28:22,7,15,.467,3,6,.500,0,0,,0,3,3,4,1,0,1,2,17,+12
4,Malik Beasley,27:30,3,7,.429,1,5,.200,0,0,,1,3,4,2,1,0,0,1,7,+14
5,player,,,,,,,,,,,,,,,,,,,,
6,Bobby Portis,26:19,10,16,.625,3,6,.500,0,0,,1,9,10,2,2,0,0,3,23,+4
7,Pat Connaughton,18:13,1,8,.125,1,6,.167,0,0,,0,3,3,2,1,0,0,2,3,+5
8,Andre Jackson Jr.,14:49,2,4,.500,2,3,.667,1,2,.500,2,1,3,2,1,0,1,2,7,-1
9,Cameron Payne,12:31,2,6,.333,0,2,.000,3,3,1.000,0,0,0,0,0,0,0,1,7,-9
10,MarJon Beauchamp,6:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-6
11,Robin Lopez,2:09,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-2
12,A.J. Green,2:09,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
13,Thanasis Antetokounmpo,1:26,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
