,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Scottie Barnes,4:52,0,1,.000,0,1,.000,0,0,,2,0,2,1,0,0,0,2,0,-5
1,RJ Barrett,5:00,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-8
2,Immanuel Quickley,5:00,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-8
3,Gary Trent Jr.,2:31,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-7
4,Jakob Poeltl,2:37,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-4
5,player,,,,,,,,,,,,,,,,,,,,
6,Dennis Schröder,5:00,0,2,.000,0,1,.000,2,2,1.000,0,1,1,1,1,0,0,0,2,-8
7,Thaddeus Young, ,,,,,,,,,,,,,,,,,,,
8,Bruce Brown, ,,,,,,,,,,,,,,,,,,,
9,Gradey Dick, ,,,,,,,,,,,,,,,,,,,
10,Chris Boucher,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Jalen McDaniels,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Jordan Nwora,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Otto Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,,,,,
