Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jordan Poole,32:42,0.532,0.481,0.346,0.192,0.0,4.0,1.8,3.8,0.0,0.0,0.0,38.4,106.0,146.0,-10.7
1,Deni Avdija,31:27,0.595,0.6,0.2,0.4,3.5,12.4,7.5,6.1,0.0,2.3,0.0,8.3,135.0,142.0,-7.9
2,Kyle Kuzma,30:58,0.733,0.733,0.333,0.0,0.0,12.6,5.7,51.0,3.1,2.4,11.8,24.4,144.0,136.0,16.4
3,Daniel Gafford,28:38,0.538,0.538,0.0,0.0,3.8,18.1,10.3,7.7,0.0,5.2,0.0,20.2,114.0,139.0,-5.9
4,Tyus Jones,26:18,0.692,0.692,0.077,0.0,0.0,9.9,4.5,14.2,0.0,0.0,0.0,22.0,139.0,145.0,-2.2
6,Bilal Coulibaly,25:16,0.857,0.857,0.286,0.0,4.3,10.3,7.0,4.2,3.8,0.0,12.5,14.1,145.0,136.0,1.0
7,Corey Kispert,21:02,0.607,0.611,0.444,0.222,5.2,6.2,5.6,5.2,2.3,0.0,0.0,20.9,126.0,141.0,-3.0
8,Danilo Gallinari,18:07,0.333,0.333,0.5,0.0,6.0,7.2,6.5,16.0,0.0,0.0,0.0,14.7,99.0,145.0,-9.8
9,Landry Shamet,14:27,1.0,1.0,0.75,0.0,0.0,26.9,12.3,14.8,0.0,0.0,20.0,15.4,151.0,139.0,1.6
10,Johnny Davis,6:05,0.0,0.0,0.0,0.0,0.0,21.3,9.7,14.3,0.0,0.0,0.0,0.0,218.0,141.0,-2.9
11,Jared Butler,1:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,-15.6
12,Anthony Gill,1:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,64.0,30.3
13,Eugene Omoruyi,1:15,0.532,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9,116.0,147.0,-7.9
14,Ryan Rollins,1:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,-13.8
15,Mike Muscala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
