Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jayson Tatum,38:36,0.581,0.528,0.5,0.444,0.0,19.6,9.6,16.3,1.3,0.0,0.0,25.0,132.0,127.0,1.5
1,Jrue Holiday,34:50,0.699,0.682,0.273,0.091,0.0,21.8,10.6,18.0,2.8,2.7,8.0,16.0,142.0,122.0,6.3
2,Derrick White,31:38,0.845,0.813,0.625,0.25,7.6,4.0,5.8,13.9,3.1,6.0,0.0,25.1,176.0,124.0,19.7
3,Kristaps Porziņģis,29:18,0.711,0.654,0.462,0.308,4.1,8.6,6.3,4.5,3.4,0.0,11.9,25.6,129.0,126.0,2.6
4,Jaylen Brown,27:10,0.632,0.615,0.385,0.077,0.0,0.0,0.0,19.8,1.8,3.5,13.0,25.4,120.0,129.0,-0.5
6,Al Horford,27:21,0.829,0.813,0.75,0.125,8.8,36.9,22.5,8.9,0.0,0.0,19.2,17.1,141.0,126.0,4.3
7,Sam Hauser,20:57,0.085,0.0,1.0,0.4,5.7,12.1,8.8,4.8,0.0,4.5,0.0,12.6,50.0,130.0,-13.4
8,Payton Pritchard,18:32,0.625,0.625,0.75,0.0,6.5,6.8,6.6,12.1,0.0,0.0,0.0,9.7,153.0,134.0,-2.2
9,Luke Kornet,10:51,0.667,0.667,0.0,0.0,11.1,0.0,5.7,11.3,0.0,0.0,0.0,12.4,158.0,136.0,0.7
10,Dalano Banton,0:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,-6.3
11,Oshae Brissett,0:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,-6.2
12,Svi Mykhailiuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Neemias Queta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Lamar Stevens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
