Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jaren Jackson Jr.,35:27,0.323,0.262,0.333,0.238,0.0,16.9,9.2,13.9,1.4,2.8,17.7,35.9,62.0,99.0,-16.3
1,Vince Williams Jr.,32:41,1.063,1.05,0.6,0.4,0.0,15.3,8.3,24.2,1.5,0.0,7.8,17.6,183.0,101.0,16.8
2,David Roddy,31:38,0.455,0.455,0.364,0.0,7.6,3.2,5.2,20.3,3.1,3.2,21.4,20.0,88.0,99.0,-1.9
3,John Konchar,30:40,0.786,0.786,0.429,0.0,11.7,22.8,17.8,11.1,1.6,3.3,22.2,13.2,126.0,96.0,2.6
4,Jacob Gilyard,23:38,0.6,0.6,0.8,0.0,0.0,0.0,0.0,44.5,2.1,0.0,28.6,13.4,117.0,105.0,0.0
6,GG Jackson II,26:00,0.79,0.778,0.667,0.444,0.0,15.4,8.4,13.8,0.0,0.0,8.5,20.4,135.0,104.0,5.6
7,Scotty Pippen Jr.,24:22,0.856,0.786,0.143,0.571,0.0,24.6,13.4,45.2,0.0,0.0,18.6,19.9,150.0,101.0,7.1
8,Xavier Tillman Sr.,18:08,1.042,1.25,0.5,1.0,6.6,16.5,12.0,8.6,2.7,16.5,25.8,9.7,139.0,87.0,10.6
9,Ziaire Williams,17:26,0.0,0.0,0.5,0.0,6.9,28.7,18.8,7.6,2.8,0.0,11.1,23.3,18.0,93.0,-22.5
10,Santi Aldama,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Jake LaRavia,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Derrick Rose,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
