Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Zion Williamson,29:04,0.673,0.571,0.0,0.5,3.4,4.1,3.8,12.3,1.6,0.0,22.6,31.8,108.0,137.0,-2.3
1,Brandon Ingram,27:52,0.604,0.556,0.111,0.444,0.0,25.8,11.7,7.0,0.0,0.0,4.4,33.8,117.0,138.0,1.5
2,Jonas Valančiūnas,23:42,0.813,0.813,0.375,0.0,4.2,45.6,23.0,43.6,0.0,0.0,0.0,14.1,176.0,136.0,13.8
3,CJ McCollum,22:33,0.444,0.357,0.571,0.286,0.0,5.3,2.4,23.8,0.0,4.6,20.2,18.3,89.0,137.0,-7.0
4,Herbert Jones,19:37,0.5,0.5,0.444,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,19.2,99.0,136.0,-7.6
6,Jordan Hawkins,29:20,0.368,0.3,0.6,0.2,3.4,24.5,13.0,4.5,0.0,0.0,21.6,19.8,67.0,138.0,-12.3
7,Jose Alvarado,20:46,0.694,0.5,0.0,1.0,0.0,5.8,2.6,12.3,4.4,0.0,0.0,5.8,161.0,129.0,-1.1
8,Dyson Daniels,17:59,0.0,0.0,0.0,0.0,0.0,13.3,6.1,20.0,2.6,5.8,66.7,7.0,47.0,129.0,-4.0
9,Larry Nance Jr.,17:30,0.727,0.667,0.5,0.333,11.4,20.6,15.6,0.0,0.0,0.0,0.0,16.4,155.0,138.0,1.8
10,Naji Marshall,15:14,0.463,0.5,0.0,1.0,6.6,0.0,3.6,10.3,3.0,0.0,10.4,26.5,92.0,133.0,-7.7
11,Jeremiah Robinson-Earl,6:48,0.769,0.667,0.333,1.667,44.1,0.0,24.1,0.0,0.0,0.0,0.0,32.0,173.0,141.0,14.3
12,Cody Zeller,6:48,0.266,0.0,0.0,2.0,0.0,52.9,24.1,0.0,0.0,0.0,0.0,11.6,60.0,135.0,-9.5
13,E.J. Liddell,2:47,0.0,0.0,0.0,0.0,0.0,86.2,39.2,0.0,0.0,0.0,0.0,0.0,0.0,132.0,-1.5
14,Malcolm Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Trey Murphy III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
