Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Lauri Markkanen,30:53,0.867,0.853,0.529,0.118,10.8,26.4,19.4,11.0,1.5,0.0,5.3,24.7,163.0,112.0,15.5
1,Collin Sexton,28:52,0.82,0.8,0.2,0.5,0.0,9.4,5.2,29.6,1.6,2.6,7.6,18.5,163.0,115.0,7.5
2,Kelly Olynyk,23:23,0.509,0.417,0.5,0.333,9.5,11.6,10.7,28.7,0.0,3.3,0.0,11.9,153.0,119.0,4.2
3,Kris Dunn,18:46,0.347,0.0,0.5,1.0,11.9,24.1,18.7,32.7,0.0,0.0,25.8,8.4,134.0,117.0,-0.5
4,John Collins,18:03,0.444,0.357,0.571,0.286,0.0,20.1,11.1,0.0,0.0,4.2,27.6,24.4,67.0,115.0,-15.2
6,Jordan Clarkson,27:00,0.585,0.471,0.471,0.471,4.1,16.8,11.1,41.2,0.0,0.0,12.8,35.2,125.0,118.0,-1.0
7,Keyonte George,24:25,0.437,0.455,0.455,0.091,0.0,0.0,0.0,20.1,1.9,0.0,14.9,22.3,91.0,120.0,-9.2
8,Simone Fontecchio,22:41,0.8,0.8,0.8,0.0,4.9,8.0,6.6,0.0,0.0,0.0,16.7,10.7,126.0,122.0,-3.1
9,Ochai Agbaji,19:28,0.833,0.833,0.667,0.0,5.7,14.0,10.3,6.6,0.0,0.0,0.0,12.5,170.0,120.0,5.7
10,Walker Kessler,17:57,0.55,0.55,0.1,0.0,18.7,20.2,19.5,8.0,2.6,17.0,9.1,24.8,116.0,99.0,5.1
11,Taylor Hendricks,2:08,0.0,0.0,0.667,0.0,0.0,42.5,23.4,0.0,0.0,0.0,25.0,75.8,0.0,111.0,-89.3
12,Luka Šamanić,2:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,-6.9
13,Brice Sensabaugh,2:08,0.0,0.0,0.0,0.0,0.0,42.5,23.4,0.0,0.0,0.0,0.0,0.0,0.0,111.0,-4.5
14,Omer Yurtseven,2:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,125.0,-28.4
15,Talen Horton-Tucker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
