Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Isaac Okoro,38:38,7.0,13.0,0.538,4.0,7.0,0.571,4.0,5.0,0.8,2.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,22.0,4.0
1,Jarrett Allen,35:28,9.0,17.0,0.529,0.0,0.0,0.0,6.0,6.0,1.0,9.0,14.0,23.0,6.0,2.0,0.0,4.0,1.0,24.0,14.0
2,Max Strus,33:34,3.0,10.0,0.3,2.0,8.0,0.25,0.0,0.0,0.0,1.0,4.0,5.0,6.0,1.0,1.0,2.0,3.0,8.0,4.0
3,Dean Wade,32:01,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,2.0,3.0,15.0
4,Craig Porter Jr.,29:35,4.0,11.0,0.364,0.0,1.0,0.0,1.0,2.0,0.5,4.0,8.0,12.0,7.0,3.0,1.0,2.0,4.0,9.0,9.0
6,Caris LeVert,27:59,9.0,19.0,0.474,6.0,11.0,0.545,5.0,8.0,0.625,0.0,2.0,2.0,7.0,0.0,0.0,2.0,3.0,29.0,-16.0
7,Georges Niang,23:52,6.0,11.0,0.545,4.0,8.0,0.5,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,16.0,-15.0
8,Tristan Thompson,13:01,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,-11.0
9,Emoni Bates,5:52,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,11.0
10,Damian Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Sam Merrill,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Isaiah Mobley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
