Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Luka Dončić,43:53,9.0,21.0,0.429,5.0,10.0,0.5,12.0,13.0,0.923,0.0,8.0,8.0,6.0,2.0,2.0,3.0,3.0,35.0,3.0
1,Dereck Lively II,35:23,8.0,9.0,0.889,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,16.0,2.0,0.0,1.0,4.0,3.0,16.0,5.0
2,Dante Exum,35:00,6.0,11.0,0.545,1.0,4.0,0.25,3.0,4.0,0.75,1.0,3.0,4.0,6.0,2.0,1.0,3.0,3.0,16.0,2.0
3,Seth Curry,20:28,2.0,5.0,0.4,1.0,3.0,0.333,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,6.0,8.0
4,Derrick Jones Jr.,6:26,2.0,4.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,6.0
6,Jaden Hardy,33:58,7.0,15.0,0.467,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,19.0,6.0
7,Markieff Morris,20:33,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,6.0,5.0
8,Olivier-Maxence Prosper,18:27,4.0,7.0,0.571,3.0,6.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,2.0,11.0,-5.0
9,A.J. Lawson,13:38,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0
10,Dwight Powell,12:12,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,4.0
11,Richaun Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
