Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Bruce Brown,27:03,8.0,14.0,0.571,1.0,3.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,3.0,1.0,17.0,-20.0
1,T.J. McConnell,25:40,5.0,12.0,0.417,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,2.0,1.0,1.0,1.0,10.0,-17.0
2,Myles Turner,21:06,2.0,7.0,0.286,1.0,2.0,0.5,7.0,8.0,0.875,2.0,3.0,5.0,0.0,1.0,0.0,1.0,1.0,12.0,-15.0
3,Buddy Hield,18:12,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,-11.0
4,Obi Toppin,16:49,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,7.0,-17.0
6,Aaron Nesmith,26:14,7.0,14.0,0.5,2.0,4.0,0.5,1.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,17.0,-15.0
7,Jarace Walker,24:12,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,5.0,-4.0
8,Bennedict Mathurin,23:23,3.0,11.0,0.273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,6.0,8.0
9,Isaiah Jackson,19:34,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,12.0,-11.0
10,Ben Sheppard,16:58,3.0,5.0,0.6,0.0,2.0,0.0,2.0,4.0,0.5,1.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,8.0,-6.0
11,Jordan Nwora,10:17,3.0,4.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,7.0,7.0
12,Oscar Tshiebwe,7:20,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0
13,James Johnson,3:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
