Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,James Harden,33:51,7.0,18.0,0.389,4.0,9.0,0.444,5.0,6.0,0.833,2.0,7.0,9.0,6.0,3.0,1.0,3.0,1.0,23.0,-17.0
1,Amir Coffey,32:54,4.0,7.0,0.571,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,9.0,-8.0
2,Paul George,28:49,7.0,14.0,0.5,5.0,8.0,0.625,3.0,3.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,22.0,-13.0
3,Terance Mann,23:31,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,-31.0
4,Ivica Zubac,16:56,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,6.0,-3.0
6,Russell Westbrook,29:42,7.0,12.0,0.583,0.0,2.0,0.0,1.0,1.0,1.0,4.0,9.0,13.0,4.0,0.0,0.0,5.0,3.0,15.0,-5.0
7,Norman Powell,23:11,6.0,11.0,0.545,4.0,8.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,16.0,-2.0
8,Brandon Boston Jr.,16:26,3.0,10.0,0.3,1.0,5.0,0.2,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,-4.0
9,Daniel Theis,14:58,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,-14.0
10,Bones Hyland,9:51,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,6.0,1.0
11,Kobe Brown,9:51,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
12,P.J. Tucker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
