Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Desmond Bane,36:20,13.0,25.0,0.52,5.0,14.0,0.357,6.0,6.0,1.0,0.0,6.0,6.0,6.0,1.0,1.0,2.0,0.0,37.0,-5.0
1,Ja Morant,36:07,14.0,25.0,0.56,1.0,3.0,0.333,1.0,1.0,1.0,0.0,6.0,6.0,11.0,1.0,1.0,3.0,1.0,30.0,2.0
2,Vince Williams Jr.,35:07,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,2.0,9.0,11.0,1.0,2.0,0.0,1.0,4.0,5.0,13.0
3,Bismack Biyombo,29:04,3.0,6.0,0.5,0.0,0.0,0.0,2.0,6.0,0.333,7.0,4.0,11.0,3.0,1.0,0.0,1.0,2.0,8.0,4.0
4,Jaren Jackson Jr.,23:52,8.0,10.0,0.8,1.0,2.0,0.5,3.0,4.0,0.75,2.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,20.0,0.0
6,Santi Aldama,27:06,2.0,7.0,0.286,1.0,4.0,0.25,1.0,2.0,0.5,0.0,4.0,4.0,3.0,0.0,1.0,1.0,0.0,6.0,3.0
7,Ziaire Williams,23:28,3.0,8.0,0.375,1.0,3.0,0.333,1.0,3.0,0.333,1.0,2.0,3.0,3.0,0.0,0.0,1.0,3.0,8.0,6.0
8,Xavier Tillman Sr.,15:37,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,6.0,4.0
9,John Konchar,13:19,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,2.0,0.0,1.0,5.0,3.0
10,Jacob Gilyard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,GG Jackson II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jake LaRavia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,David Roddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
