Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Anthony Edwards,38:18,8.0,27.0,0.296,4.0,7.0,0.571,6.0,6.0,1.0,5.0,9.0,14.0,1.0,0.0,0.0,2.0,1.0,26.0,0.0
1,Karl-Anthony Towns,35:58,8.0,25.0,0.32,2.0,10.0,0.2,1.0,1.0,1.0,2.0,8.0,10.0,3.0,0.0,4.0,4.0,2.0,19.0,-1.0
2,Rudy Gobert,32:00,6.0,12.0,0.5,0.0,0.0,0.0,3.0,5.0,0.6,5.0,8.0,13.0,1.0,2.0,4.0,2.0,3.0,15.0,-11.0
3,Mike Conley,30:30,4.0,9.0,0.444,1.0,4.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,11.0,-6.0
4,Nickeil Alexander-Walker,22:38,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,-17.0
6,Kyle Anderson,30:19,3.0,9.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,2.0,7.0,9.0,5.0,2.0,0.0,1.0,0.0,7.0,15.0
7,Naz Reid,23:46,3.0,8.0,0.375,0.0,2.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0
8,Shake Milton,21:16,1.0,5.0,0.2,1.0,4.0,0.25,1.0,2.0,0.5,0.0,3.0,3.0,4.0,2.0,0.0,2.0,4.0,4.0,3.0
9,Troy Brown Jr.,5:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,Luka Garza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Jordan McLaughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Leonard Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Josh Minott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Wendell Moore Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Daishen Nix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
