Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tobias Harris,37:49,10.0,18.0,0.556,2.0,4.0,0.5,4.0,4.0,1.0,6.0,4.0,10.0,2.0,2.0,0.0,2.0,2.0,26.0,-15.0
1,Kelly Oubre Jr.,34:36,7.0,14.0,0.5,0.0,3.0,0.0,1.0,2.0,0.5,3.0,3.0,6.0,0.0,1.0,0.0,2.0,2.0,15.0,-15.0
2,Joel Embiid,29:48,5.0,18.0,0.278,2.0,6.0,0.333,2.0,2.0,1.0,1.0,6.0,7.0,2.0,2.0,0.0,8.0,5.0,14.0,-21.0
3,Danuel House Jr.,29:08,1.0,4.0,0.25,1.0,3.0,0.333,4.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,7.0,-21.0
4,Patrick Beverley,27:35,4.0,12.0,0.333,2.0,4.0,0.5,2.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,12.0,-19.0
6,KJ Martin,26:25,1.0,2.0,0.5,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,16.0
7,Furkan Korkmaz,22:12,6.0,8.0,0.75,5.0,6.0,0.833,2.0,3.0,0.667,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,19.0,5.0
8,Jaden Springer,21:02,4.0,7.0,0.571,1.0,3.0,0.333,1.0,1.0,1.0,0.0,5.0,5.0,2.0,4.0,0.0,1.0,4.0,10.0,8.0
9,Paul Reed,9:53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
10,Ricky Council IV,1:32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
11,Mo Bamba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Marcus Morris,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Terquavion Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
