Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Kevin Durant,39:14,9.0,15.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,6.0,1.0,1.0,2.0,1.0,20.0,-9.0
1,Devin Booker,38:18,22.0,37.0,0.595,6.0,12.0,0.5,12.0,13.0,0.923,0.0,5.0,5.0,4.0,1.0,2.0,4.0,2.0,62.0,1.0
2,Grayson Allen,37:20,4.0,5.0,0.8,2.0,3.0,0.667,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,2.0,5.0,11.0,-8.0
3,Bradley Beal,34:22,5.0,13.0,0.385,1.0,5.0,0.2,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,6.0,5.0,12.0,-4.0
4,Jusuf Nurkić,20:08,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,3.0,0.0,2.0,2.0,2.0,-3.0
6,Eric Gordon,30:25,5.0,9.0,0.556,2.0,6.0,0.333,2.0,3.0,0.667,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,14.0,0.0
7,Drew Eubanks,15:56,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,8.0,12.0
8,Josh Okogie,13:06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.0
9,Keita Bates-Diop,8:46,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0
10,Chimezie Metu,2:25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
11,Jordan Goodwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Nassir Little,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Yuta Watanabe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
