Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Kawhi Leonard,39:00,10.0,26.0,0.385,2.0,5.0,0.4,9.0,9.0,1.0,1.0,7.0,8.0,3.0,1.0,2.0,2.0,0.0,31.0,-5.0
1,Paul George,36:44,2.0,13.0,0.154,0.0,4.0,0.0,2.0,2.0,1.0,3.0,5.0,8.0,4.0,1.0,1.0,3.0,5.0,6.0,-11.0
2,James Harden,36:28,3.0,7.0,0.429,3.0,5.0,0.6,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,3.0,11.0,6.0
3,Ivica Zubac,32:10,9.0,15.0,0.6,0.0,0.0,0.0,5.0,8.0,0.625,8.0,6.0,14.0,1.0,0.0,1.0,1.0,2.0,23.0,-6.0
4,Terance Mann,29:32,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,5.0,-11.0
6,Russell Westbrook,26:45,5.0,9.0,0.556,0.0,0.0,0.0,4.0,6.0,0.667,1.0,10.0,11.0,3.0,0.0,1.0,2.0,4.0,14.0,-11.0
7,Norman Powell,21:12,2.0,8.0,0.25,1.0,5.0,0.2,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,10.0,-10.0
8,Daniel Theis,12:11,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,4.0,0.0
9,P.J. Tucker,5:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0
10,Kobe Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Amir Coffey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Moussa Diabaté,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Bones Hyland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Jordan Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Xavier Moon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
