Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Bojan Bogdanović,42:34,0.67,0.654,0.577,0.077,2.8,15.9,9.6,15.6,1.1,0.0,3.6,26.4,147.0,137.0,3.9
1,Cade Cunningham,39:37,0.668,0.643,0.333,0.238,0.0,14.2,7.4,43.5,1.2,0.0,20.5,29.7,128.0,137.0,0.8
2,Isaiah Livers,36:29,0.672,0.643,0.571,0.143,9.9,3.1,6.4,0.0,2.6,0.0,11.8,9.3,136.0,138.0,-3.5
3,Jalen Duren,36:11,0.924,0.857,0.0,0.714,13.3,18.7,16.1,9.3,0.0,2.1,17.9,12.5,166.0,138.0,3.0
4,Jaden Ivey,21:45,0.619,0.625,0.375,0.25,0.0,5.2,2.7,10.5,0.0,0.0,18.4,20.1,111.0,143.0,-7.7
6,Alec Burks,34:14,0.703,0.676,0.529,0.294,0.0,13.2,6.8,3.7,0.0,0.0,9.4,24.9,134.0,141.0,-2.3
7,James Wiseman,16:46,0.571,0.571,0.0,0.0,35.9,26.9,31.3,0.0,0.0,0.0,30.0,24.0,101.0,137.0,-12.9
8,Killian Hayes,13:26,0.333,0.333,0.0,0.0,0.0,33.6,17.3,45.5,0.0,5.6,0.0,9.0,152.0,131.0,3.4
9,Kevin Knox,12:51,0.4,0.4,0.4,0.0,9.4,0.0,4.5,17.3,0.0,0.0,0.0,15.7,123.0,144.0,-7.5
10,Ausar Thompson,11:07,0.205,0.25,0.25,0.5,21.7,10.1,15.7,9.3,4.3,6.7,0.0,17.7,87.0,127.0,-9.2
11,Marvin Bagley III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Joe Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Marcus Sasser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
