Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Stephen Curry,34:49,11.0,20.0,0.55,7.0,14.0,0.5,6.0,6.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,6.0,2.0,35.0,4.0
1,Klay Thompson,28:49,3.0,11.0,0.273,3.0,8.0,0.375,6.0,7.0,0.857,1.0,2.0,3.0,6.0,1.0,0.0,2.0,3.0,15.0,7.0
2,Andrew Wiggins,24:40,4.0,10.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,3.0,10.0,-1.0
3,Kevon Looney,23:38,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,1.0,7.0,8.0,4.0,2.0,0.0,2.0,3.0,6.0,-3.0
4,Moses Moody,16:54,4.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,9.0,-6.0
6,Chris Paul,28:58,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,0.0,1.0,2.0,5.0,16.0
7,Dario Šarić,26:17,7.0,11.0,0.636,4.0,7.0,0.571,2.0,2.0,1.0,2.0,5.0,7.0,4.0,2.0,0.0,3.0,3.0,20.0,13.0
8,Jonathan Kuminga,20:14,5.0,7.0,0.714,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,12.0,-1.0
9,Gary Payton II,18:30,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0
10,Brandin Podziemski,11:46,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
11,Trayce Jackson-Davis,5:23,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0
12,Draymond Green,Player Suspended,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Cory Joseph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Gui Santos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
